starting_date,am_or_pm,title,location,session_type,time_location
2023-03-26T00:00:00-07:00,PM,Biocatalysis and Biologically-Related Processes:,Hall F-H (Indiana Convention Center),Session Type: Poster - In-person,"07:00pm - 09:00pm USA / Canada - Eastern - March 26, 2023 | Location: Hall F-H (Indiana Convention Center)"
2023-03-26T00:00:00-07:00,PM,C-H Activation:,Hall F-H (Indiana Convention Center),Session Type: Poster - In-person,"07:00pm - 09:00pm USA / Canada - Eastern - March 26, 2023 | Location: Hall F-H (Indiana Convention Center)"
2023-03-26T00:00:00-07:00,PM,Heterocycles & Aromatics:,Hall F-H (Indiana Convention Center),Session Type: Poster - In-person,"07:00pm - 09:00pm USA / Canada - Eastern - March 26, 2023 | Location: Hall F-H (Indiana Convention Center)"
2023-03-26T00:00:00-07:00,PM,Metal-Mediated Reactions & Syntheses:,Hall F-H (Indiana Convention Center),Session Type: Poster - In-person,"07:00pm - 09:00pm USA / Canada - Eastern - March 26, 2023 | Location: Hall F-H (Indiana Convention Center)"
2023-03-26T00:00:00-07:00,PM,Total Synthesis of Complex Molecules:,Hall F-H (Indiana Convention Center),Session Type: Poster - In-person,"07:00pm - 09:00pm USA / Canada - Eastern - March 26, 2023 | Location: Hall F-H (Indiana Convention Center)"
2023-03-27T00:00:00-07:00,AM,Green Methods & Syntheses:,Room 202 (Indiana Convention Center),Session Type: Oral - In-person,"08:00am - 11:10am USA / Canada - Eastern - March 27, 2023 | Location: Room 202 (Indiana Convention Center)"
2023-03-27T00:00:00-07:00,AM,Molecular Recognition & Self-Assembly:,Room 204 (Indiana Convention Center),Session Type: Oral - In-person,"08:00am - 12:00pm USA / Canada - Eastern - March 27, 2023 | Location: Room 204 (Indiana Convention Center)"
2023-03-27T00:00:00-07:00,AM,New Reactions & Methodology:,Room 201 (Indiana Convention Center),Session Type: Oral - In-person,"08:00am - 11:40am USA / Canada - Eastern - March 27, 2023 | Location: Room 201 (Indiana Convention Center)"
2023-03-27T00:00:00-07:00,AM,Herbert C. Brown Award for Creative Research in Synthetic Methods:,Sagamore Ballroom 6 (Indiana Convention Center),Session Type: Oral - Hybrid,"08:00am - 12:00pm USA / Canada - Eastern - March 27, 2023 | Location: Sagamore Ballroom 6 (Indiana Convention Center)"
2023-03-27T00:00:00-07:00,AM,Biocatalysis Enabled Cascade Processes for a Sustainable Future:,Room 207 (Indiana Convention Center),Session Type: Oral - Hybrid,"08:00am - 12:00pm USA / Canada - Eastern - March 27, 2023 | Location: Room 207 (Indiana Convention Center)"
2023-03-27T00:00:00-07:00,AM,Modern Methods in Polymer Chemistry:,Room 203 (Indiana Convention Center),Session Type: Oral - In-person,"08:00am - 11:30am USA / Canada - Eastern - March 27, 2023 | Location: Room 203 (Indiana Convention Center)"
2023-03-27T00:00:00-07:00,AM,Virtual Programming:,Virtual Session (Virtual Only),Session Type: Oral - Virtual,"10:00am - 01:20pm USA / Canada - Eastern - March 27, 2023 | Location: Virtual Session (Virtual Only)"
2023-03-27T00:00:00-07:00,PM,Asymmetric Reactions & Syntheses:,Virtual Session (Virtual Only),Session Type: Poster - Virtual,"12:00pm - 02:00pm USA / Canada - Eastern - March 27, 2023 | Location: Virtual Session (Virtual Only)"
2023-03-27T00:00:00-07:00,PM,Biocatalysis and Biologically-Related Processes:,Virtual Session (Virtual Only),Session Type: Poster - Virtual,"12:00pm - 02:00pm USA / Canada - Eastern - March 27, 2023 | Location: Virtual Session (Virtual Only)"
2023-03-27T00:00:00-07:00,PM,Cross Coupling Reactions:,Virtual Session (Virtual Only),Session Type: Poster - Virtual,"12:00pm - 02:00pm USA / Canada - Eastern - March 27, 2023 | Location: Virtual Session (Virtual Only)"
